Brkenn,k,X_WERT,Y_WERT,wellid,losstype,pumploc,qlimit,ppflag,pumpcap,rw,hlim,qcut
W 5489,2,2530995.31,5660933.1,welll324,thiem,0,0,0,0,0.5,6,0
W 5491,0,2530986.51,5661174.26,welll325,thiem,0,0,0,0,0.5,6,0
W 5491,2,2530986.51,5661174.26,welll326,thiem,0,0,0,0,0.5,6,0
W 5493,0,2530909.78,5661414.87,welll327,thiem,0,0,0,0,0.5,6,0
W 5493,2,2530909.78,5661414.87,welll328,thiem,0,0,0,0,0.5,6,0
W 5495,0,2530878.47,5661690.73,welll329,thiem,0,0,0,0,0.5,6,0
W 5495,2,2530878.47,5661690.73,welll330,thiem,0,0,0,0,0.5,6,0
W 5498,0,2530844,5661914.38,welll331,thiem,0,0,0,0,0.5,6,0
W 5498,2,2530844,5661914.38,welll332,thiem,0,0,0,0,0.5,6,0
W 5499,0,2530769.47,5662010.98,welll333,thiem,0,0,0,0,0.5,6,0
W 5499,2,2530769.47,5662010.98,welll334,thiem,0,0,0,0,0.5,6,0
W 5502,0,2531565.36,5660961.12,welll335,thiem,0,0,0,0,0.5,6,0
W 5502,2,2531565.36,5660961.12,welll336,thiem,0,0,0,0,0.5,6,0
W 5503,0,2531581.2,5661144.99,welll337,thiem,0,0,0,0,0.5,6,0
W 5503,2,2531581.2,5661144.99,welll338,thiem,0,0,0,0,0.5,6,0
W 5504,0,2531518.74,5661322.13,welll339,thiem,0,0,0,0,0.5,6,0
W 5504,2,2531518.74,5661322.13,welll340,thiem,0,0,0,0,0.5,6,0
W 5510,0,2531303.03,5661848.52,welll341,thiem,0,0,0,0,0.5,6,0
W 5510,2,2531303.03,5661848.52,welll342,thiem,0,0,0,0,0.5,6,0
W 5512,0,2531253.61,5662007.12,welll343,thiem,0,0,0,0,0.5,6,0
W 5512,2,2531253.61,5662007.12,welll344,thiem,0,0,0,0,0.5,6,0
W 5513,0,2531224.77,5661363.51,welll345,thiem,0,0,0,0,0.5,6,0
W 5513,2,2531224.77,5661363.51,welll346,thiem,0,0,0,0,0.5,6,0
W 5515,0,2531196.04,5661482.67,welll347,thiem,0,0,0,0,0.5,6,0
W 5515,2,2531196.04,5661482.67,welll348,thiem,0,0,0,0,0.5,6,0
W 5516,0,2531444.37,5661986.76,welll349,thiem,0,0,0,0,0.5,6,0
W 5516,2,2531444.37,5661986.76,welll350,thiem,0,0,0,0,0.5,6,0
W 5517,0,2531346.46,5662019.93,welll351,thiem,0,0,0,0,0.5,6,0
W 5517,2,2531346.46,5662019.93,welll352,thiem,0,0,0,0,0.5,6,0
W 5518,0,2531162.25,5662012.52,welll353,thiem,0,0,0,0,0.5,6,0
W 5518,2,2531162.25,5662012.52,welll354,thiem,0,0,0,0,0.5,6,0
W 5519,0,2530983.7,5662031.96,welll355,thiem,0,0,0,0,0.5,6,0
W 5519,2,2530983.7,5662031.96,welll356,thiem,0,0,0,0,0.5,6,0
W 5520,0,2530857.59,5662020.41,welll357,thiem,0,0,0,0,0.5,6,0
W 5520,2,2530857.59,5662020.41,welll358,thiem,0,0,0,0,0.5,6,0
W 5525,0,2531797.67,5658521.23,welll359,thiem,0,0,0,0,0.5,6,0
W 5525,2,2531797.67,5658521.23,welll360,thiem,0,0,0,0,0.5,6,0
W 5538,0,2530711.86,5662014.79,welll361,thiem,0,0,0,0,0.5,6,0
W 5538,2,2530711.86,5662014.79,welll362,thiem,0,0,0,0,0.5,6,0
W 5539,0,2530601.27,5661976.98,welll363,thiem,0,0,0,0,0.5,6,0
W 5539,2,2530601.27,5661976.98,welll364,thiem,0,0,0,0,0.5,6,0
W 5540,0,2530512.27,5661948.14,welll365,thiem,0,0,0,0,0.5,6,0
W 5540,2,2530512.27,5661948.14,welll366,thiem,0,0,0,0,0.5,6,0
W 5541,0,2530406.98,5661917.75,welll367,thiem,0,0,0,0,0.5,6,0
W 5541,2,2530406.98,5661917.75,welll368,thiem,0,0,0,0,0.5,6,0
W 5542,0,2530286.41,5661899.04,welll369,thiem,0,0,0,0,0.5,6,0
W 5542,2,2530286.41,5661899.04,welll370,thiem,0,0,0,0,0.5,6,0
W 5543,0,2530225.88,5661856.01,welll371,thiem,0,0,0,0,0.5,6,0
W 5543,2,2530225.88,5661856.01,welll372,thiem,0,0,0,0,0.5,6,0
W 5544,0,2530227.54,5661726.61,welll373,thiem,0,0,0,0,0.5,6,0
W 5544,2,2530227.54,5661726.61,welll374,thiem,0,0,0,0,0.5,6,0
W 5545,0,2530253.28,5661500.66,welll375,thiem,0,0,0,0,0.5,6,0
W 5545,2,2530253.28,5661500.66,welll376,thiem,0,0,0,0,0.5,6,0
W 5546,0,2530394.32,5661216.93,welll377,thiem,0,0,0,0,0.5,6,0
W 5546,2,2530394.32,5661216.93,welll378,thiem,0,0,0,0,0.5,6,0
W 5547,0,2530523.19,5661036.82,welll379,thiem,0,0,0,0,0.5,6,0
W 5547,2,2530523.19,5661036.82,welll380,thiem,0,0,0,0,0.5,6,0
W 5548,0,2530702.41,5660903.94,welll381,thiem,0,0,0,0,0.5,6,0
W 5548,2,2530702.41,5660903.94,welll382,thiem,0,0,0,0,0.5,6,0
W 5550,0,2530882.59,5660641.53,welll383,thiem,0,0,0,0,0.5,6,0
W 5550,2,2530882.59,5660641.53,welll384,thiem,0,0,0,0,0.5,6,0
W 5552,0,2530982.68,5660426.87,welll385,thiem,0,0,0,0,0.5,6,0
W 5552,2,2530982.68,5660426.87,welll386,thiem,0,0,0,0,0.5,6,0
W 5553,0,2530921.62,5660217.53,welll387,thiem,0,0,0,0,0.5,6,0
W 5553,2,2530921.62,5660217.53,welll388,thiem,0,0,0,0,0.5,6,0
W 5554,0,2530753.02,5660283.15,welll389,thiem,0,0,0,0,0.5,6,0
W 5554,2,2530753.02,5660283.15,welll390,thiem,0,0,0,0,0.5,6,0
W 5557,0,2531036.89,5659617.88,welll391,thiem,0,0,0,0,0.5,6,0
W 5557,2,2531036.89,5659617.88,welll392,thiem,0,0,0,0,0.5,6,0
W 5559,0,2530609.45,5659439.18,welll393,thiem,0,0,0,0,0.5,6,0
W 5559,2,2530609.45,5659439.18,welll394,thiem,0,0,0,0,0.5,6,0
W 5560,0,2530418.63,5659414.36,welll395,thiem,0,0,0,0,0.5,6,0
W 5560,2,2530418.63,5659414.36,welll396,thiem,0,0,0,0,0.5,6,0
W 5561,0,2530540.03,5659218.16,welll397,thiem,0,0,0,0,0.5,6,0
W 5561,2,2530540.03,5659218.16,welll398,thiem,0,0,0,0,0.5,6,0
W 5562,0,2530618.63,5659093.2,welll399,thiem,0,0,0,0,0.5,6,0
W 5562,2,2530618.63,5659093.2,welll400,thiem,0,0,0,0,0.5,6,0
W 5563,0,2530760.1,5658894.36,welll401,thiem,0,0,0,0,0.5,6,0
W 5563,2,2530760.1,5658894.36,welll402,thiem,0,0,0,0,0.5,6,0
W 5564,0,2530905.44,5658679.01,welll403,thiem,0,0,0,0,0.5,6,0
W 5564,2,2530905.44,5658679.01,welll404,thiem,0,0,0,0,0.5,6,0
W 5565,0,2530999.79,5658576.92,welll405,thiem,0,0,0,0,0.5,6,0
W 5565,2,2530999.79,5658576.92,welll406,thiem,0,0,0,0,0.5,6,0
W 5566,0,2531184.25,5658318.85,welll407,thiem,0,0,0,0,0.5,6,0
W 5566,2,2531184.25,5658318.85,welll408,thiem,0,0,0,0,0.5,6,0
W 5567,0,2531298.62,5658113.15,welll409,thiem,0,0,0,0,0.5,6,0
W 5567,2,2531298.62,5658113.15,welll410,thiem,0,0,0,0,0.5,6,0
W 5568,0,2531443.52,5657936.03,welll411,thiem,0,0,0,0,0.5,6,0
W 5568,2,2531443.52,5657936.03,welll412,thiem,0,0,0,0,0.5,6,0
W 5569,0,2531656.8,5657340.86,welll413,thiem,0,0,0,0,0.5,6,0
W 5569,2,2531656.8,5657340.86,welll414,thiem,0,0,0,0,0.5,6,0
W 5571,0,2531796.12,5656930.64,welll415,thiem,0,0,0,0,0.5,6,0
W 5571,2,2531796.12,5656930.64,welll416,thiem,0,0,0,0,0.5,6,0
W 5572,0,2531117.81,5658418.62,welll417,thiem,0,0,0,0,0.5,6,0
W 5572,2,2531117.81,5658418.62,welll418,thiem,0,0,0,0,0.5,6,0
W 5576,0,2530986.62,5661881.28,welll419,thiem,0,0,0,0,0.5,6,0
W 5576,2,2530986.62,5661881.28,welll420,thiem,0,0,0,0,0.5,6,0
W 5580,0,2531465.06,5661608.37,welll421,thiem,0,0,0,0,0.5,6,0
W 5580,2,2531465.06,5661608.37,welll422,thiem,0,0,0,0,0.5,6,0
W 5582,0,2531150.71,5661096.5,welll423,thiem,0,0,0,0,0.5,6,0
W 5582,2,2531150.71,5661096.5,welll424,thiem,0,0,0,0,0.5,6,0
W 5583,0,2531121.38,5660953.13,welll425,thiem,0,0,0,0,0.5,6,0
W 5583,2,2531121.38,5660953.13,welll426,thiem,0,0,0,0,0.5,6,0
W 5584,0,2531067.25,5660823.4,welll427,thiem,0,0,0,0,0.5,6,0
W 5584,2,2531067.25,5660823.4,welll428,thiem,0,0,0,0,0.5,6,0
W 5586,0,2531247.42,5660414.28,welll429,thiem,0,0,0,0,0.5,6,0
W 5586,2,2531247.42,5660414.28,welll430,thiem,0,0,0,0,0.5,6,0
W 5587,0,2531432.02,5660445.54,welll431,thiem,0,0,0,0,0.5,6,0
W 5587,2,2531432.02,5660445.54,welll432,thiem,0,0,0,0,0.5,6,0
W 5588,0,2531285.59,5659783.36,welll433,thiem,0,0,0,0,0.5,6,0
W 5588,2,2531285.59,5659783.36,welll434,thiem,0,0,0,0,0.5,6,0
W 5590,0,2531405.43,5659576.2,welll435,thiem,0,0,0,0,0.5,6,0
W 5590,2,2531405.43,5659576.2,welll436,thiem,0,0,0,0,0.5,6,0
W 5592,0,2530696.24,5661803.82,welll437,thiem,0,0,0,0,0.5,6,0
W 5592,2,2530696.24,5661803.82,welll438,thiem,0,0,0,0,0.5,6,0
W 5593,0,2530766.44,5661666.65,welll439,thiem,0,0,0,0,0.5,6,0
W 5593,2,2530766.44,5661666.65,welll440,thiem,0,0,0,0,0.5,6,0
W 5594,0,2530761.76,5661525.34,welll441,thiem,0,0,0,0,0.5,6,0
W 5594,2,2530761.76,5661525.34,welll442,thiem,0,0,0,0,0.5,6,0
W 5596,0,2530841.45,5661270.06,welll443,thiem,0,0,0,0,0.5,6,0
W 5596,2,2530841.45,5661270.06,welll444,thiem,0,0,0,0,0.5,6,0
W 5598,0,2530069.57,5661871.73,welll445,thiem,0,0,0,0,0.5,6,0
W 5598,2,2530069.57,5661871.73,welll446,thiem,0,0,0,0,0.5,6,0
W 5599,0,2529943.87,5661845.26,welll447,thiem,0,0,0,0,0.5,6,0
W 5599,2,2529943.87,5661845.26,welll448,thiem,0,0,0,0,0.5,6,0
W 5600,0,2529841.91,5661755.67,welll449,thiem,0,0,0,0,0.5,6,0
W 5600,2,2529841.91,5661755.67,welll450,thiem,0,0,0,0,0.5,6,0
W 5601,0,2529783.05,5661792.93,welll451,thiem,0,0,0,0,0.5,6,0
W 5601,2,2529783.05,5661792.93,welll452,thiem,0,0,0,0,0.5,6,0
W 5602,0,2529650.4,5661774.78,welll453,thiem,0,0,0,0,0.5,6,0
W 5602,2,2529650.4,5661774.78,welll454,thiem,0,0,0,0,0.5,6,0
W 5603,0,2529585.53,5661704.25,welll455,thiem,0,0,0,0,0.5,6,0
W 5603,2,2529585.53,5661704.25,welll456,thiem,0,0,0,0,0.5,6,0
W 5604,0,2529582.63,5661519.57,welll457,thiem,0,0,0,0,0.5,6,0
W 5604,2,2529582.63,5661519.57,welll458,thiem,0,0,0,0,0.5,6,0
W 5605,0,2529654.35,5661328.57,welll459,thiem,0,0,0,0,0.5,6,0
W 5605,2,2529654.35,5661328.57,welll460,thiem,0,0,0,0,0.5,6,0
W 5606,0,2529723.24,5661003.14,welll461,thiem,0,0,0,0,0.5,6,0
W 5606,2,2529723.24,5661003.14,welll462,thiem,0,0,0,0,0.5,6,0
W 5607,0,2529733.86,5660844.16,welll463,thiem,0,0,0,0,0.5,6,0
W 5607,2,2529733.86,5660844.16,welll464,thiem,0,0,0,0,0.5,6,0
W 5608,0,2529821.5,5660583.95,welll465,thiem,0,0,0,0,0.5,6,0
W 5608,2,2529821.5,5660583.95,welll466,thiem,0,0,0,0,0.5,6,0
W 5609,0,2529929.7,5660372.44,welll467,thiem,0,0,0,0,0.5,6,0
W 5609,2,2529929.7,5660372.44,welll468,thiem,0,0,0,0,0.5,6,0
W 5610,0,2529991.23,5660183.15,welll469,thiem,0,0,0,0,0.5,6,0
W 5610,2,2529991.23,5660183.15,welll470,thiem,0,0,0,0,0.5,6,0
W 5611,0,2530316.3,5660173.87,welll471,thiem,0,0,0,0,0.5,6,0
W 5611,2,2530316.3,5660173.87,welll472,thiem,0,0,0,0,0.5,6,0
W 5612,0,2530374.41,5660086.32,welll473,thiem,0,0,0,0,0.5,6,0
W 5612,2,2530374.41,5660086.32,welll474,thiem,0,0,0,0,0.5,6,0
W 5613,0,2530575.4,5659805.5,welll475,thiem,0,0,0,0,0.5,6,0
W 5613,2,2530575.4,5659805.5,welll476,thiem,0,0,0,0,0.5,6,0
W 5614,0,2530618.55,5659585.86,welll477,thiem,0,0,0,0,0.5,6,0
W 5614,2,2530618.55,5659585.86,welll478,thiem,0,0,0,0,0.5,6,0
W 5617,0,2531095.94,5661428.3,welll479,thiem,0,0,0,0,0.5,6,0
W 5617,2,2531095.94,5661428.3,welll480,thiem,0,0,0,0,0.5,6,0
W 5618,0,2531092.31,5661288.77,welll481,thiem,0,0,0,0,0.5,6,0
W 5618,2,2531092.31,5661288.77,welll482,thiem,0,0,0,0,0.5,6,0
W 5619,0,2530494.23,5661856.05,welll483,thiem,0,0,0,0,0.5,6,0
W 5619,2,2530494.23,5661856.05,welll484,thiem,0,0,0,0,0.5,6,0
W 5620,0,2530379.41,5661782.07,welll485,thiem,0,0,0,0,0.5,6,0
W 5620,2,2530379.41,5661782.07,welll486,thiem,0,0,0,0,0.5,6,0
W 5621,0,2530567.31,5661660.32,welll487,thiem,0,0,0,0,0.5,6,0
W 5621,2,2530567.31,5661660.32,welll488,thiem,0,0,0,0,0.5,6,0
W 5622,0,2530595.81,5661576.87,welll489,thiem,0,0,0,0,0.5,6,0
W 5622,2,2530595.81,5661576.87,welll490,thiem,0,0,0,0,0.5,6,0
W 5623,0,2530563.12,5661467.53,welll491,thiem,0,0,0,0,0.5,6,0
W 5623,2,2530563.12,5661467.53,welll492,thiem,0,0,0,0,0.5,6,0
W 5626,0,2530412.66,5661661.85,welll493,thiem,0,0,0,0,0.5,6,0
W 5626,2,2530412.66,5661661.85,welll494,thiem,0,0,0,0,0.5,6,0
W 5627,0,2530394.99,5661531.65,welll495,thiem,0,0,0,0,0.5,6,0
W 5627,2,2530394.99,5661531.65,welll496,thiem,0,0,0,0,0.5,6,0
W 5628,0,2530509.37,5661366.26,welll497,thiem,0,0,0,0,0.5,6,0
W 5628,2,2530509.37,5661366.26,welll498,thiem,0,0,0,0,0.5,6,0
W 5629,0,2530709.21,5661351.89,welll499,thiem,0,0,0,0,0.5,6,0
W 5629,2,2530709.21,5661351.89,welll500,thiem,0,0,0,0,0.5,6,0
W 5631,0,2530737.46,5661187.21,welll501,thiem,0,0,0,0,0.5,6,0
W 5631,2,2530737.46,5661187.21,welll502,thiem,0,0,0,0,0.5,6,0
W 5632,0,2530857.45,5661066.9,welll503,thiem,0,0,0,0,0.5,6,0
W 5632,2,2530857.45,5661066.9,welll504,thiem,0,0,0,0,0.5,6,0
W 5633,0,2530833.49,5660892.04,welll505,thiem,0,0,0,0,0.5,6,0
W 5633,2,2530833.49,5660892.04,welll506,thiem,0,0,0,0,0.5,6,0
W 5634,0,2530791.28,5660992.05,welll507,thiem,0,0,0,0,0.5,6,0
W 5634,2,2530791.28,5660992.05,welll508,thiem,0,0,0,0,0.5,6,0
W 5638,0,2530543.26,5661202.64,welll509,thiem,0,0,0,0,0.5,6,0
W 5638,2,2530543.26,5661202.64,welll510,thiem,0,0,0,0,0.5,6,0
W 5639,0,2530599.19,5661108.37,welll511,thiem,0,0,0,0,0.5,6,0
W 5639,2,2530599.19,5661108.37,welll512,thiem,0,0,0,0,0.5,6,0
W 5640,0,2530638.39,5660982.72,welll513,thiem,0,0,0,0,0.5,6,0
W 5640,2,2530638.39,5660982.72,welll514,thiem,0,0,0,0,0.5,6,0
W 5643,0,2531052.16,5660163.7,welll515,thiem,0,0,0,0,0.5,6,0
W 5643,2,2531052.16,5660163.7,welll516,thiem,0,0,0,0,0.5,6,0
W 5646,0,2531182.23,5660228.43,welll517,thiem,0,0,0,0,0.5,6,0
W 5646,2,2531182.23,5660228.43,welll518,thiem,0,0,0,0,0.5,6,0
W 5648,0,2531100.09,5660019.25,welll519,thiem,0,0,0,0,0.5,6,0
W 5648,2,2531100.09,5660019.25,welll520,thiem,0,0,0,0,0.5,6,0
W 5649,0,2530927.67,5660005.48,welll521,thiem,0,0,0,0,0.5,6,0
W 5649,2,2530927.67,5660005.48,welll522,thiem,0,0,0,0,0.5,6,0
W 5650,0,2531010.19,5659835.25,welll523,thiem,0,0,0,0,0.5,6,0
W 5650,2,2531010.19,5659835.25,welll524,thiem,0,0,0,0,0.5,6,0
W 5651,0,2529489.74,5661680.64,welll525,thiem,0,0,0,0,0.5,6,0
W 5651,2,2529489.74,5661680.64,welll526,thiem,0,0,0,0,0.5,6,0
W 5654,0,2529311.35,5661467.34,welll527,thiem,0,0,0,0,0.5,6,0
W 5654,2,2529311.35,5661467.34,welll528,thiem,0,0,0,0,0.5,6,0
W 5655,0,2529453.65,5661208.6,welll529,thiem,0,0,0,0,0.5,6,0
W 5655,2,2529453.65,5661208.6,welll530,thiem,0,0,0,0,0.5,6,0
W 5656,0,2529537.33,5660912.45,welll531,thiem,0,0,0,0,0.5,6,0
W 5656,2,2529537.33,5660912.45,welll532,thiem,0,0,0,0,0.5,6,0
W 5657,0,2529591.76,5660712.12,welll533,thiem,0,0,0,0,0.5,6,0
W 5657,2,2529591.76,5660712.12,welll534,thiem,0,0,0,0,0.5,6,0
W 5658,0,2529677.3,5660496.36,welll535,thiem,0,0,0,0,0.5,6,0
W 5658,2,2529677.3,5660496.36,welll536,thiem,0,0,0,0,0.5,6,0
W 5659,0,2529818.26,5660332.08,welll537,thiem,0,0,0,0,0.5,6,0
W 5659,2,2529818.26,5660332.08,welll538,thiem,0,0,0,0,0.5,6,0
W 5660,0,2529878.7,5660141.48,welll539,thiem,0,0,0,0,0.5,6,0
W 5660,2,2529878.7,5660141.48,welll540,thiem,0,0,0,0,0.5,6,0
W 5661,0,2530056.31,5660027.97,welll541,thiem,0,0,0,0,0.5,6,0
W 5661,2,2530056.31,5660027.97,welll542,thiem,0,0,0,0,0.5,6,0
W 5662,0,2530160.68,5659814.99,welll543,thiem,0,0,0,0,0.5,6,0
W 5662,2,2530160.68,5659814.99,welll544,thiem,0,0,0,0,0.5,6,0
W 5663,0,2530208.74,5659692.98,welll545,thiem,0,0,0,0,0.5,6,0
W 5663,2,2530208.74,5659692.98,welll546,thiem,0,0,0,0,0.5,6,0
W 5664,0,2530323.36,5659559.65,welll547,thiem,0,0,0,0,0.5,6,0
W 5664,2,2530323.36,5659559.65,welll548,thiem,0,0,0,0,0.5,6,0
W 5667,0,2530492.81,5658468.37,welll549,thiem,0,0,0,0,0.5,6,0
W 5667,2,2530492.81,5658468.37,welll550,thiem,0,0,0,0,0.5,6,0
W 5668,0,2530662.58,5658303.57,welll551,thiem,0,0,0,0,0.5,6,0
W 5668,2,2530662.58,5658303.57,welll552,thiem,0,0,0,0,0.5,6,0
W 5669,0,2530788.91,5658086.46,welll553,thiem,0,0,0,0,0.5,6,0
W 5669,2,2530788.91,5658086.46,welll554,thiem,0,0,0,0,0.5,6,0
W 5670,0,2530845.87,5657927.18,welll555,thiem,0,0,0,0,0.5,6,0
W 5670,2,2530845.87,5657927.18,welll556,thiem,0,0,0,0,0.5,6,0
W 5671,0,2530973.03,5657749.48,welll557,thiem,0,0,0,0,0.5,6,0
W 5671,2,2530973.03,5657749.48,welll558,thiem,0,0,0,0,0.5,6,0
W 5672,0,2531259.34,5657377.3,welll559,thiem,0,0,0,0,0.5,6,0
W 5672,2,2531259.34,5657377.3,welll560,thiem,0,0,0,0,0.5,6,0
W 5673,0,2531269.55,5657164.53,welll561,thiem,0,0,0,0,0.5,6,0
W 5673,2,2531269.55,5657164.53,welll562,thiem,0,0,0,0,0.5,6,0
W 5677,0,2529843.74,5661618.45,welll563,thiem,0,0,0,0,0.5,6,0
W 5677,2,2529843.74,5661618.45,welll564,thiem,0,0,0,0,0.5,6,0
W 5678,0,2529926.29,5661430.13,welll565,thiem,0,0,0,0,0.5,6,0
W 5678,2,2529926.29,5661430.13,welll566,thiem,0,0,0,0,0.5,6,0
W 5679,0,2530007.65,5661296.01,welll567,thiem,0,0,0,0,0.5,6,0
W 5679,2,2530007.65,5661296.01,welll568,thiem,0,0,0,0,0.5,6,0
W 5680,0,2530099.25,5661118.77,welll569,thiem,0,0,0,0,0.5,6,0
W 5680,2,2530099.25,5661118.77,welll570,thiem,0,0,0,0,0.5,6,0
W 5681,0,2530301.13,5661620.7,welll571,thiem,0,0,0,0,0.5,6,0
W 5681,2,2530301.13,5661620.7,welll572,thiem,0,0,0,0,0.5,6,0
W 5682,0,2530352.04,5661389.91,welll573,thiem,0,0,0,0,0.5,6,0
W 5682,2,2530352.04,5661389.91,welll574,thiem,0,0,0,0,0.5,6,0
W 5683,0,2530397.93,5661079.13,welll575,thiem,0,0,0,0,0.5,6,0
W 5683,2,2530397.93,5661079.13,welll576,thiem,0,0,0,0,0.5,6,0
W 5684,0,2530113.19,5661764.51,welll577,thiem,0,0,0,0,0.5,6,0
W 5684,2,2530113.19,5661764.51,welll578,thiem,0,0,0,0,0.5,6,0
W 5685,0,2529955.8,5661772.82,welll579,thiem,0,0,0,0,0.5,6,0
W 5685,2,2529955.8,5661772.82,welll580,thiem,0,0,0,0,0.5,6,0
W 5686,0,2530093.03,5661681.46,welll581,thiem,0,0,0,0,0.5,6,0
W 5686,2,2530093.03,5661681.46,welll582,thiem,0,0,0,0,0.5,6,0
W 5687,0,2530135.43,5661529.92,welll583,thiem,0,0,0,0,0.5,6,0
W 5687,2,2530135.43,5661529.92,welll584,thiem,0,0,0,0,0.5,6,0
W 5688,0,2530010.4,5661566.48,welll585,thiem,0,0,0,0,0.5,6,0
W 5688,2,2530010.4,5661566.48,welll586,thiem,0,0,0,0,0.5,6,0
W 5689,0,2530111.15,5661378.09,welll587,thiem,0,0,0,0,0.5,6,0
W 5689,2,2530111.15,5661378.09,welll588,thiem,0,0,0,0,0.5,6,0
W 5690,0,2530213.96,5661247.43,welll589,thiem,0,0,0,0,0.5,6,0
W 5690,2,2530213.96,5661247.43,welll590,thiem,0,0,0,0,0.5,6,0
W 5691,0,2530215.32,5661190.78,welll591,thiem,0,0,0,0,0.5,6,0
W 5691,2,2530215.32,5661190.78,welll592,thiem,0,0,0,0,0.5,6,0
W 5695,0,2529687.78,5661170.84,welll593,thiem,0,0,0,0,0.5,6,0
W 5695,2,2529687.78,5661170.84,welll594,thiem,0,0,0,0,0.5,6,0
W 5697,0,2529785.56,5661640.84,welll595,thiem,0,0,0,0,0.5,6,0
W 5697,2,2529785.56,5661640.84,welll596,thiem,0,0,0,0,0.5,6,0
W 5698,0,2529745.8,5661533.04,welll597,thiem,0,0,0,0,0.5,6,0
W 5698,2,2529745.8,5661533.04,welll598,thiem,0,0,0,0,0.5,6,0
W 5699,0,2529673.44,5661637.56,welll599,thiem,0,0,0,0,0.5,6,0
W 5699,2,2529673.44,5661637.56,welll600,thiem,0,0,0,0,0.5,6,0
W 5701,0,2529835.23,5661410.25,welll601,thiem,0,0,0,0,0.5,6,0
W 5701,2,2529835.23,5661410.25,welll602,thiem,0,0,0,0,0.5,6,0
W 5702,0,2530007.65,5661296.01,welll603,thiem,0,0,0,0,0.5,6,0
W 5702,2,2530007.65,5661296.01,welll604,thiem,0,0,0,0,0.5,6,0
W 5704,0,2529836.54,5661219.35,welll605,thiem,0,0,0,0,0.5,6,0
W 5704,2,2529836.54,5661219.35,welll606,thiem,0,0,0,0,0.5,6,0
W 5706,0,2529972.09,5661080.06,welll607,thiem,0,0,0,0,0.5,6,0
W 5706,2,2529972.09,5661080.06,welll608,thiem,0,0,0,0,0.5,6,0
W 5707,0,2530077.13,5660969.4,welll609,thiem,0,0,0,0,0.5,6,0
W 5707,2,2530077.13,5660969.4,welll610,thiem,0,0,0,0,0.5,6,0
W 5708,0,2530114.93,5660851.06,welll611,thiem,0,0,0,0,0.5,6,0
W 5708,2,2530114.93,5660851.06,welll612,thiem,0,0,0,0,0.5,6,0
W 5709,0,2530224.04,5660704.11,welll613,thiem,0,0,0,0,0.5,6,0
W 5709,2,2530224.04,5660704.11,welll614,thiem,0,0,0,0,0.5,6,0
W 5713,0,2529867.38,5660998.59,welll615,thiem,0,0,0,0,0.5,6,0
W 5713,2,2529867.38,5660998.59,welll616,thiem,0,0,0,0,0.5,6,0
W 5715,0,2530082.84,5660818.48,welll617,thiem,0,0,0,0,0.5,6,0
W 5715,2,2530082.84,5660818.48,welll618,thiem,0,0,0,0,0.5,6,0
W 5716,0,2530154.48,5660990.97,welll619,thiem,0,0,0,0,0.5,6,0
W 5716,2,2530154.48,5660990.97,welll620,thiem,0,0,0,0,0.5,6,0
W 5717,0,2530291.31,5661032.2,welll621,thiem,0,0,0,0,0.5,6,0
W 5717,2,2530291.31,5661032.2,welll622,thiem,0,0,0,0,0.5,6,0
W 5718,0,2530298.42,5660979.85,welll623,thiem,0,0,0,0,0.5,6,0
W 5718,2,2530298.42,5660979.85,welll624,thiem,0,0,0,0,0.5,6,0
W 5719,0,2530426.37,5660935.57,welll625,thiem,0,0,0,0,0.5,6,0
W 5719,2,2530426.37,5660935.57,welll626,thiem,0,0,0,0,0.5,6,0
W 5720,0,2530282.56,5660860.74,welll627,thiem,0,0,0,0,0.5,6,0
W 5720,2,2530282.56,5660860.74,welll628,thiem,0,0,0,0,0.5,6,0
W 5721,0,2530503.66,5660841.54,welll629,thiem,0,0,0,0,0.5,6,0
W 5721,2,2530503.66,5660841.54,welll630,thiem,0,0,0,0,0.5,6,0
W 5722,0,2530453.63,5660808.54,welll631,thiem,0,0,0,0,0.5,6,0
W 5722,2,2530453.63,5660808.54,welll632,thiem,0,0,0,0,0.5,6,0
W 5723,0,2530575.02,5660889.41,welll633,thiem,0,0,0,0,0.5,6,0
W 5723,2,2530575.02,5660889.41,welll634,thiem,0,0,0,0,0.5,6,0
W 5724,0,2530557.99,5660770.89,welll635,thiem,0,0,0,0,0.5,6,0
W 5724,2,2530557.99,5660770.89,welll636,thiem,0,0,0,0,0.5,6,0
W 5725,0,2530607.86,5660789.63,welll637,thiem,0,0,0,0,0.5,6,0
W 5725,2,2530607.86,5660789.63,welll638,thiem,0,0,0,0,0.5,6,0
W 5727,0,2530624.86,5660629.56,welll639,thiem,0,0,0,0,0.5,6,0
W 5727,2,2530624.86,5660629.56,welll640,thiem,0,0,0,0,0.5,6,0
W 5728,0,2530808.54,5660545.81,welll641,thiem,0,0,0,0,0.5,6,0
W 5728,2,2530808.54,5660545.81,welll642,thiem,0,0,0,0,0.5,6,0
W 5729,0,2530881.21,5660576.89,welll643,thiem,0,0,0,0,0.5,6,0
W 5729,2,2530881.21,5660576.89,welll644,thiem,0,0,0,0,0.5,6,0
W 5731,0,2530830.63,5660465.77,welll645,thiem,0,0,0,0,0.5,6,0
W 5731,2,2530830.63,5660465.77,welll646,thiem,0,0,0,0,0.5,6,0
W 5732,0,2530835.24,5660302.15,welll647,thiem,0,0,0,0,0.5,6,0
